date,confirm,no,new,total
9月1日,50,37,87,87
9月2日,54,33,87,174
9月3日,69,20,89,263
9月4日,50,21,71,334
9月5日,27,9,36,370
9月6日,27,13,40,410
9月7日,18,7,25,435
9月8日,26,28,54,489
9月9日,22,6,28,517
9月10日,12,8,20,537
9月11日,14,11,25,562
9月12日,4,4,8,570
9月13日,5,3,8,578
9月14日,4,1,5,583
9月15日,3,0,3,586
9月16日,2,0,2,588
9月17日,1,1,2,590
9月18日,0,0,0,590
9月19日,0,0,0,590
9月20日,2,0,2,592
9月21日,0,0,0,592
9月22日,1,0,1,593
9月23日,1,0,1,594
9月24日,1,0,1,595
9月25日,5,5,10,605
9月26日,7,3,10,615
9月27日,3,0,3,618
9月28日,13,2,15,633
9月29日,15,12,27,660
9月30日,16,19,35,695
10月1日,16,8,24,719
10月2日,14,18,32,751
10月3日,7,4,11,762
10月4日,11,10,21,783
10月5日,6,4,10,793
10月6日,3,3,6,799
10月7日,3,1,4,803
10月8日,4,3,7,810
10月9日,9,1,10,820
10月10日,14,19,33,853
10月11日,23,6,29,882
10月12日,19,7,26,908
10月13日,21,11,32,940
10月14日,26,10,36,976
10月15日,7,8,15,991
10月16日,10,5,15,1006
10月17日,10,10,20,1026
10月18日,11,9,20,1046
10月19日,10,5,15,1061
10月20日,9,5,14,1075
10月21日,7,3,10,1085
10月22日,11,6,17,1102
10月23日,0,3,3,1105
10月24日,3,1,4,1109
10月25日,2,3,5,1114
10月26日,0,2,2,1116
10月27日,2,0,2,1118
10月28日,2,4,6,1124
10月29日,6,4,10,1134
10月30日,21,9,30,1164
10月31日,23,6,29,1193
11月1日,18,5,23,1216
11月2日,10,1,11,1227
11月3日,9,3,12,1239
11月4日,4,3,7,1246
11月5日,1,1,2,1248
11月6日,3,1,4,1252
11月7日,1,0,1,1253
11月8日,1,2,3,1256
11月9日,0,2,2,1258
11月10日,3,1,4,1262
11月11日,2,5,7,1269
11月12日,5,9,14,1283
11月13日,2,4,6,1289
11月14日,1,4,5,1294
11月15日,9,3,12,1306
11月16日,6,1,7,1313
11月17日,7,5,12,1325
11月18日,9,14,23,1348
11月19日,6,10,16,1364
11月20日,6,14,20,1384
11月21日,16,14,30,1414
11月22日,15,25,40,1454
11月23日,33,33,66,1520
11月24日,28,15,43,1563
11月25日,24,27,51,1614
11月26日,51,32,83,1697
11月27日,54,72,126,1823
11月28日,65,136,201,2024
11月29日,74,125,199,2223
11月30日,87,141,228,2451
